ticker,period,date,premium_discount_pct
RSP,previousYear,2025-09-15,0.028149
RSP,previousYear,2025-09-16,0.009776
RSP,previousYear,2025-09-17,0.0155
RSP,previousYear,2025-09-18,-0.008089
RSP,previousYear,2025-09-19,-0.016164
RSP,previousYear,2025-09-20,-0.016164
RSP,previousYear,2025-09-21,-0.016164
RSP,previousYear,2025-09-22,-0.001343
RSP,previousYear,2025-09-23,0.0106
RSP,previousYear,2025-09-24,-0.01253
RSP,previousYear,2025-09-25,0.006189
RSP,previousYear,2025-09-26,-0.004217
RSP,previousYear,2025-09-27,-0.004217
RSP,previousYear,2025-09-28,-0.004217
RSP,previousYear,2025-09-29,0.012112
RSP,previousYear,2025-09-30,-0.01286
RSP,previousYear,2025-10-01,-0.0023
RSP,previousYear,2025-10-02,0.00856
RSP,previousYear,2025-10-03,-0.003315
RSP,previousYear,2025-10-04,-0.003315
RSP,previousYear,2025-10-05,-0.003315
RSP,previousYear,2025-10-06,-0.002972
RSP,previousYear,2025-10-07,0.016253
RSP,previousYear,2025-10-08,0.013092
RSP,previousYear,2025-10-09,0.001576
RSP,previousYear,2025-10-10,0.019135
RSP,previousYear,2025-10-11,0.019135
RSP,previousYear,2025-10-12,0.019135
RSP,previousYear,2025-10-13,-0.009796
RSP,previousYear,2025-10-14,-0.008255
RSP,previousYear,2025-10-15,0.024532
RSP,previousYear,2025-10-16,0.004012
RSP,previousYear,2025-10-17,0.011546
RSP,previousYear,2025-10-18,0.011546
RSP,previousYear,2025-10-19,0.011546
RSP,previousYear,2025-10-20,0.005523
RSP,previousYear,2025-10-21,-0.007827
RSP,previousYear,2025-10-22,0.008903
RSP,previousYear,2025-10-23,0.004282
RSP,previousYear,2025-10-24,0.014709
RSP,previousYear,2025-10-25,0.014709
RSP,previousYear,2025-10-26,0.014709
RSP,previousYear,2025-10-27,-0.007884
RSP,previousYear,2025-10-28,0.014638
RSP,previousYear,2025-10-29,0.021735
RSP,previousYear,2025-10-30,-0.001125
RSP,previousYear,2025-10-31,0.013627
RSP,previousYear,2025-11-01,0.013627
RSP,previousYear,2025-11-02,0.013627
RSP,previousYear,2025-11-03,0.02351
RSP,previousYear,2025-11-04,0.038459
RSP,previousYear,2025-11-05,0.006347
RSP,previousYear,2025-11-06,0.040585
RSP,previousYear,2025-11-07,-0.010767
RSP,previousYear,2025-11-08,-0.010767
RSP,previousYear,2025-11-09,-0.010767
RSP,previousYear,2025-11-10,0.014867
RSP,previousYear,2025-11-11,0.020057
RSP,previousYear,2025-11-12,0.018455
RSP,previousYear,2025-11-13,0.021585
RSP,previousYear,2025-11-14,0.007926
RSP,previousYear,2025-11-15,0.007926
RSP,previousYear,2025-11-16,0.007926
RSP,previousYear,2025-11-17,-0.002421
RSP,previousYear,2025-11-18,0.006269
RSP,previousYear,2025-11-19,0.004464
RSP,previousYear,2025-11-20,0.004938
RSP,previousYear,2025-11-21,0.007749
RSP,previousYear,2025-11-22,0.007749
RSP,previousYear,2025-11-23,0.007749
RSP,previousYear,2025-11-24,-0.020568
RSP,previousYear,2025-11-25,-0.005564
RSP,previousYear,2025-11-26,-0.011222
RSP,previousYear,2025-11-27,-0.011222
RSP,previousYear,2025-11-28,-0.012026
RSP,previousYear,2025-11-29,-0.012026
RSP,previousYear,2025-11-30,-0.012026
RSP,previousYear,2025-12-01,0.053332
RSP,previousYear,2025-12-02,5e-06
RSP,previousYear,2025-12-03,0.018325
